X,Y,SIG_CD,SIG_ENG_NM,SIG_KOR_NM
126.8748585,37.16523661,41590,Hwaseong-si,화성시
127.301176,37.40309074,41610,Gwangju-si,광주시
127.0011349,37.80865756,41630,Yangju-si,양주시
127.2503373,37.96977801,41650,Pocheon-si,포천시
127.6157373,37.30245842,41670,Yeoju-si,여주시
127.0244564,38.09272995,41800,Yeoncheon-gun,연천군
127.4501921,37.81843317,41820,Gapyeong-gun,가평군
127.5792645,37.51805585,41830,Yangpyeong-gun,양평군
127.7398684,37.88979679,42110,Chuncheon-si,춘천시
127.9295253,37.30822288,42130,Wonju-si,원주시
128.8323789,37.70910197,42150,Gangneung-si,강릉시
129.0555688,37.5066814,42170,Donghae-si,동해시
128.9800726,37.17231241,42190,Taebaek-si,태백시
128.519541,38.17603138,42210,Sokcho-si,속초시
129.12171,37.27748089,42230,Samcheok-si,삼척시
128.0742609,37.74504907,42720,Hongcheon-gun,홍천군
128.0770674,37.50914207,42730,Hoengseong-gun,횡성군
128.500296,37.20411361,42750,Yeongwol-gun,영월군
128.48259,37.55683921,42760,Pyeongchang-gun,평창군
128.7390632,37.37868629,42770,Jeongseon-gun,정선군
127.3989244,38.23908523,42780,Cheorwon-gun,철원군
127.6851657,38.13842628,42790,Hwacheon-gun,화천군
128.0002064,38.17560879,42800,Yanggu-gun,양구군
128.2647272,38.06460026,42810,Inje-gun,인제군
128.4111555,38.36275363,42820,Goseong-gun,고성군
128.5950086,38.00448634,42830,Yangyang-gun,양양군
127.5848802,36.59211242,43111,"Sangdang-gu, Cheongju-si",청주시 상당구
127.4384007,36.54726305,43112,"Seowon-gu, Cheongju-si",청주시 서원구
127.3692749,36.64696076,43113,"Heungdeok-gu, Cheongju-si",청주시 흥덕구
127.4913176,36.72057891,43114,"Cheongwon-gu, Cheongju-si",청주시 청원구
127.8956623,37.01519694,43130,Chungju-si,충주시
128.1409593,37.05991183,43150,Jecheon-si,제천시
127.7293357,36.48994959,43720,Boeun-gun,보은군
127.6565589,36.32045611,43730,Okcheon-gun,옥천군
127.8142281,36.15965896,43740,Yeongdong-gun,영동군
127.6046181,36.78647301,43745,Jeungpyeong-gun,증평군
127.4404636,36.87099952,43750,Jincheon-gun,진천군
127.8295881,36.76965903,43760,Goesan-gun,괴산군
127.6142068,36.97622261,43770,Eumseong-gun,음성군
128.3878416,36.99445276,43800,Danyang-gun,단양군
127.2208946,36.76411722,44131,"Dongnam-gu, Cheonan-si",천안시동남구
127.1618094,36.89271067,44133,"Seobuk-gu, Cheonan-si",천안시서북구
127.0752191,36.47981976,44150,Gongju-si,공주시
126.594247,36.34024523,44180,Boryeong-si,보령시
126.9800756,36.80731633,44200,Asan-si,아산시
126.4636016,36.78399346,44210,Seosan-si,서산시
127.1577164,36.19088691,44230,Nonsan-si,논산시
127.2344266,36.2915937,44250,Gyeryong-si,계룡시
126.6527445,36.90325778,44270,Dangjin-si,당진시
127.4783119,36.11900081,44710,Geumsan-gun,금산군
126.8569676,36.2463839,44760,Buyeo-gun,부여군
126.7079805,36.10517212,44770,Seocheon-gun,서천군
126.8531131,36.43058296,44790,Cheongyang-gun,청양군
126.6258536,36.57009431,44800,Hongseong-gun,홍성군
126.7843109,36.67062867,44810,Yesan-gun,예산군
126.2809571,36.7036613,44825,Taean-gun,태안군
127.1195036,35.79209428,45111,"Wansan-gu, Jeonju-si",전주시완산구
127.1129157,35.85870118,45113,"Deokjin-gu, Jeonju-si",전주시덕진구
126.7260152,35.95043894,45130,Gunsan-si,군산시
126.9895102,36.02310555,45140,Iksan-si,익산시
126.9058575,35.60262466,45180,Jeongeup-si,정읍시
127.4418897,35.4225448,45190,Namwon-si,남원시
126.8948857,35.80671644,45210,Gimje-si,김제시
127.2151146,35.91861444,45710,Wanju-gun,완주군
127.4300354,35.82880745,45720,Jinan-gun,진안군
127.7129531,35.93936736,45730,Muju-gun,무주군
127.5442641,35.65746098,45740,Jangsu-gun,장수군
127.2366472,35.59820204,45750,Imsil-gun,임실군
127.090087,35.4336343,45770,Sunchang-gun,순창군
126.6160462,35.44816757,45790,Gochang-gun,고창군
126.6443774,35.6779229,45800,Buan-gun,부안군
126.3918353,34.80376416,46110,Mokpo-si,목포시
127.6532031,34.69617175,46130,Yeosu-si,여수시
127.3891627,34.99474506,46150,Suncheon-si,순천시
126.7204103,34.9885894,46170,Naju-si,나주시
127.6550735,35.0219785,46230,Gwangyang-si,광양시
126.9952909,35.2914951,46710,Damyang-gun,담양군
127.2635825,35.21661355,46720,Gokseong-gun,곡성군
127.5031193,35.23676622,46730,Gurye-gun,구례군
127.3146205,34.59848495,46770,Goheung-gun,고흥군
127.1621214,34.8143749,46780,Boseong-gun,보성군
127.0334335,35.00818573,46790,Hwasun-gun,화순군
126.9215323,34.67653701,46800,Jangheung-gun,장흥군
126.7721517,34.62046495,46810,Gangjin-gun,강진군
126.5217898,34.5458247,46820,Haenam-gun,해남군
126.6306945,34.79956672,46830,Yeongam-gun,영암군
126.4259079,34.95320449,46840,Muan-gun,무안군
126.5356041,35.11267054,46860,Hampyeong-gun,함평군
126.4531293,35.27848603,46870,Yeonggwang-gun,영광군
126.7684949,35.32956437,46880,Jangseong-gun,장성군
126.7768069,34.29557933,46890,Wando-gun,완도군
126.2150578,34.43939638,46900,Jindo-gun,진도군
126.048907,34.81240654,46910,Sinan-gun,신안군
129.4376545,35.95813526,47111,"Nam-gu, Pohang-si",포항시 남구
129.234009,36.16507327,47113,"Buk-gu, Pohang-si",포항시 북구
129.2359296,35.8266428,47130,Gyeongju-si,경주시
128.0777075,36.06042386,47150,Gimcheon-si,김천시
128.7800427,36.58024221,47170,Andong-si,안동시
128.3555555,36.20730964,47190,Gumi-si,구미시
128.5976826,36.8704754,47210,Yeongju-si,영주시
128.942624,36.01577844,47230,Yeongcheon-si,영천시
128.067007,36.42950234,47250,Sangju-si,상주시
128.1486082,36.69079151,47280,Mungyeong-si,문경시
128.8090552,35.83406007,47290,Gyeongsan-si,경산시
128.6482246,36.17011208,47720,Gunwi-gun,군위군
128.6150673,36.36204451,47730,Uiseong-gun,의성군
129.0573852,36.35697643,47750,Cheongsong-gun,청송군
129.1450305,36.69638883,47760,Yeongyang-gun,영양군
129.3173762,36.48238769,47770,Yeongdeok-gun,영덕군
128.786527,35.67297478,47820,Cheongdo-gun,청도군
128.3067337,35.73719712,47830,Goryeong-gun,고령군
128.2333931,35.90722342,47840,Seongju-gun,성주군
128.4625838,36.01551131,47850,Chilgok-gun,칠곡군
128.422384,36.65384527,47900,Yecheon-gun,예천군
128.9129004,36.93414016,47920,Bonghwa-gun,봉화군
129.3123186,36.90391313,47930,Uljin-gun,울진군
130.864243,37.50194192,47940,Ulleung-gun,울릉군
128.6495884,35.30894896,48121,"Uichang-gu, Changwon-si",창원시 의창구
128.6721044,35.19618568,48123,"Seongsan-gu, Changwon-si",창원시 성산구
128.4852558,35.13545806,48125,"Masanhappo-gu, Changwon-si",창원시 마산합포구
128.5364332,35.23222659,48127,"Masanhoewon-gu, Changwon-si",창원시 마산회원구
128.7363008,35.12994945,48129,"Jinhae-gu, Changwon-si",창원시 진해구
128.1298011,35.20515765,48170,Jinju-si,진주시
128.3740775,34.82932843,48220,Tongyeong-si,통영시
128.0376963,35.04970341,48240,Sacheon-si,사천시
128.8452158,35.27215642,48250,Gimhae-si,김해시
128.7896015,35.4984997,48270,Miryang-si,밀양시
128.6231395,34.8704352,48310,Geoje-si,거제시
129.0410414,35.40188821,48330,Yangsan-si,양산시
128.2770578,35.39243102,48720,Uiryeong-gun,의령군
128.4308769,35.29100281,48730,Haman-gun,함안군
128.4930519,35.50822773,48740,Changnyeong-gun,창녕군
128.2906632,35.01630447,48820,Goseong-gun,고성군
127.9411405,34.81829098,48840,Namhae-gun,남해군
127.779049,35.13830463,48850,Hadong-gun,하동군
127.8843379,35.36859736,48860,Sancheong-gun,산청군
127.7220411,35.55160171,48870,Hamyang-gun,함양군
127.9041696,35.73255219,48880,Geochang-gun,거창군
128.1415437,35.57657745,48890,Hapcheon-gun,합천군
126.5292476,33.44220188,50110,Jeju-si,제주시
126.5810857,33.32504027,50130,Seogwipo-si,서귀포시
